aoa	CL	CD	CM	SM
-10.000000	1.217010	0.054440	-0.215580	0.396404
-9.000000	-0.761060	0.029970	0.364010	0.180396
-8.000000	-0.651980	0.026630	0.343580	0.194055
-7.000000	-0.542470	0.023810	0.321590	0.207480
-6.000000	-0.432590	0.021520	0.298070	0.220678
-5.000000	-0.322400	0.019780	0.273030	0.233659
-4.000000	-0.211970	0.018590	0.246520	0.246431
-3.000000	-0.101360	0.017970	0.218570	0.259003
-2.000000	0.009370	0.017900	0.189200	0.271379
-1.000000	0.120150	0.018410	0.158460	0.283570
0.000000	0.230930	0.019490	0.126380	0.295579
1.000000	0.341630	0.021150	0.093000	0.307414
2.000000	0.452190	0.023370	0.058370	0.319081
3.000000	0.562550	0.026160	0.022510	0.330584
4.000000	0.672650	0.029520	-0.014510	0.341928
5.000000	0.782430	0.033430	-0.052660	0.353118
6.000000	0.891810	0.037880	-0.091890	0.364157
7.000000	1.000750	0.042880	-0.132160	0.375050
8.000000	1.109170	0.048400	-0.173400	0.385798
9.000000	1.217010	0.054440	-0.215580	0.396404
